Name,Latitude,Longitude,Email,Address,Type
Asia Food Ha Linh,52.45527509999999,13.3844375,N/A,"Tempelhofer Damm 227, 12099 Berlin, Germany",restaurant
Libanon Snack,52.4561327,13.3836645,N/A,"Tempelhofer Damm 222, 12099 Berlin, Germany",restaurant
Guter Wille Pascham,52.44604959999999,13.4164253,N/A,"Kol.Guter Wille 1, 12347 Berlin, Germany",bar
Rose Grillhaus,52.45587239999999,13.3805193,N/A,"Friedrich-Karl-Straße 17, 12103 Berlin, Germany",meal_takeaway
Karma Restaurant,52.4473703,13.3969435,N/A,"Eisenacher Str. 57, 12109 Berlin, Germany",restaurant
Restaurant Split,52.44650619999999,13.4021977,N/A,"Rixdorfer Str. 89, 12109 Berlin, Germany",restaurant
Pizzeria Gatto Nero,52.45264459999999,13.3712604,N/A,"Attilastraße 20, 12105 Berlin, Germany",restaurant
Aaina | Indisches Restaurant Tempelhof | Cocktailbar Berlin,52.4568526,13.3835245,N/A,"Tempelhofer Damm 216, 12099 Berlin, Germany",bar
Restaurant Adlermühle Berlin,52.4246868,13.3947603,N/A,"Mariendorfer Damm 320, 12107 Berlin, Germany",bar
China Snack,52.4386111,13.3830556,N/A,"Forddamm 7-9, 12107 Berlin, Germany",meal_takeaway
Park-Café,52.4404542,13.3963704,N/A,"Rixdorfer Str. 165, 12109 Berlin, Germany",cafe
Bei Radi,52.4458355,13.3899915,N/A,"Westphalweg 28, 12109 Berlin, Germany",restaurant
The Sixties Diner - Mariendorf,52.4233863,13.3956922,N/A,"Mariendorfer Damm 338, 12107 Berlin, Germany",restaurant
McDonald's,52.4373798,13.3796943,N/A,"Großbeerenstraße 22, 12107 Berlin, Germany",restaurant
Pizzeria Roma,52.44484749999999,13.3745712,N/A,"Gersdorfstraße 65, 12105 Berlin, Germany",restaurant
Villa Christina,52.4399869,13.3879208,N/A,"Mariendorfer Damm 131, 12107 Berlin, Germany",meal_delivery
Selfie Lounge,52.4554683,13.3759902,N/A,"Attilastraße 175, 12105 Berlin, Germany",bar
"Mustang Restaurant, Cafe & Cocktailbar | Italienische Spezialitäten & Steakhaus",52.42595669999999,13.392704,N/A,"Mariendorfer Damm 296, 12107 Berlin, Germany",bar
Tiamo Lieferservice Berlin,52.44572,13.38421,N/A,"Kaiserstraße 112, 12105 Berlin, Germany",meal_delivery
Domino's Pizza Berlin Tempelhof,52.4578105,13.3838158,N/A,"Tempelhofer Damm 206, 12099 Berlin, Germany",restaurant
Preußen-Quelle,52.45793010000001,13.3855042,N/A,"Friedrich-Wilhelm-Straße 85, 12099 Berlin, Germany",restaurant
Seestar of Britz,52.4356053,13.4156545,N/A,"Mohriner Allee 145, 12347 Berlin, Germany",cafe
Aristoteles,52.4466438,13.3790398,N/A,"Königstraße 44, 12105 Berlin, Germany",restaurant
rice & more,52.4345942,13.3785393,N/A,"Großbeerenstraße 51, 12107 Berlin, Germany",restaurant
Cancún Mariendorf,52.4255253,13.3945119,N/A,"Mariendorfer Damm 310, 12107 Berlin, Germany",restaurant
Domino's Pizza,52.4435019,13.386572,N/A,"Mariendorfer Damm 103, 12109 Berlin, Germany",restaurant
Zum Sargnagel,52.43953799999999,13.3880337,N/A,"Mariendorfer Damm 137, 12107 Berlin, Germany",bar
Amma Berlin,52.45718599999999,13.3837382,N/A,"Tempelhofer Damm 214, 12099 Berlin, Germany",meal_takeaway
Streetfood Burger & Döner House,52.4405248,13.3880706,N/A,"Alt-Mariendorf 30, 12107 Berlin, Germany",restaurant
Bernie's Curry,52.4392622,13.3884732,N/A,"Reißeckstraße 1, 12107 Berlin, Germany",meal_takeaway
Gemüse Kebap,52.4390474,13.3886758,N/A,"Reißeckstraße 4, 12107 Berlin, Germany",meal_takeaway
Mundo Tapas Bar Restaurant Berlin,52.44048950000001,13.3875476,N/A,"Alt-Mariendorf 32, 12107 Berlin, Germany",meal_takeaway
HAMI,52.4388319,13.3884916,N/A,"Reißeckstraße 2-4, 12107 Berlin, Germany",restaurant
Arona Mini Pizza,52.43893309999999,13.3880723,N/A,"Reißeckstraße 2Y U-Bhf Alt, 12107 Berlin, Germany",restaurant
SAMUI fine asian food,52.4390239,13.3876914,N/A,"Alt-Mariendorf 137, 12107 Berlin, Germany",meal_takeaway
Alte Dorfschänke,52.44016970000001,13.3857751,N/A,"Alt-Mariendorf 42, 12107 Berlin, Germany",bar
Sky Sportsbar Ducky's Kneipe,52.4422673,13.3862458,N/A,"Mariendorfer Damm 112, 12109 Berlin, Germany",bar
Cruncho Cheeseo,52.44251609999999,13.3861117,N/A,"Mariendorfer Damm 110, 12109 Berlin, Germany",meal_takeaway
Villa Lakerda,52.4395384,13.3847797,N/A,"Alt-Mariendorf 45, 12107 Berlin, Germany",restaurant
21 Dönerhaus Kebaphaus Pizzahaus,52.4434554,13.3865803,N/A,"Mariendorfer Damm 103, 12109 Berlin, Germany",meal_takeaway
